Protein IDs (Uniprot),Gene names,Fasta header,Peptides,Unique peptides,Sequence coverage,Q-value,Rep1 tp = 0h,Rep1 tp = 1h,Rep1 tp = 2h,Rep1 tp = 4h,Rep1 tp = 8h,Rep1 tp = 16h,Rep1 tp = 32h,Rep2 tp = 0h,Rep2 tp = 1h,Rep2 tp = 2h,Rep2 tp = 4h,Rep2 tp = 8h,Rep2 tp = 16h,Rep2 tp = 32h,Rep3 tp = 0h,Rep3 tp = 1h,Rep3 tp = 2h,Rep3 tp = 4h,Rep3 tp = 8h,Rep3 tp = 16h,Rep3 tp = 32h,# data points,1-state-model_kA [h-1],2-state-model_kA [h-1],2-state-model_kB [h-1],2-state-model_ktransfer [h-1],1-state-model_AICp,1-state-model_RSS,2-state-model_AICp,2-state-model_RSS,Half-life (exponential) 1-state-model [h],Half-life (steady state) 2-state-model [h],Δ-score,Degradation profile,Abundance after pulse
A0A024QZ33,NSRP1,">tr|A0A024QZ33|A0A024QZ33_HUMAN Coiled-coil domain containing 55, isoform CRA_a OS=Homo sapiens GN=CCDC55 PE=4 SV=1;>sp|Q9H0G5|NSRP1_HUMAN Nuclear speckle splicing regulatory protein 1 OS=Homo sapiens GN=NSRP1 PE=1 SV=1;>tr|K7ERM9|K7ERM9_HUMAN Nuclear spec",5,5,9.3,0,,,,,,,,,,,,,,,100,92.3077737,80.6611474,64.5770423,49.5326735,,,5,0.092698986,0.121783915,5.55E-05,0.054952645,0.999991175,0.001396173,8.82E-06,0.000359672,7.47739764,> 300,0.086042389,ED,0.024137257
A0A075B730,EPPK1,>tr|A0A075B730|A0A075B730_HUMAN Epiplakin OS=Homo sapiens GN=EPPK1 PE=1 SV=2;>tr|A0A087X1U6|A0A087X1U6_HUMAN Epiplakin OS=Homo sapiens GN=EPPK1 PE=4 SV=1;>sp|P58107|EPIPL_HUMAN Epiplakin OS=Homo sapiens GN=EPPK1 PE=1 SV=2,11,5,12,0,,,,,,,,,,,,,,,100,97.4721084,78.1592508,74.7751079,63.3458365,,,5,0.062749124,0.112385435,0.001658656,0.139356881,0.999996154,0.003928303,3.85E-06,0.001966582,11.04632441,> 300,0.062404636,ED,0.003066915
A0A087WSW9,TXNRD1,">tr|A0A087WSW9|A0A087WSW9_HUMAN Glycosyl-phosphatidylinositol-anchored molecule-like protein OS=Homo sapiens GN=GML PE=4 SV=1;>sp|Q16881-4|TRXR1_HUMAN Isoform 4 of Thioredoxin reductase 1, cytoplasmic OS=Homo sapiens GN=TXNRD1;>sp|Q16881-3|TRXR1_HUMAN Isof",24,23,65.3,0,100,94.0794931,125.8478666,103.7382902,137.4360095,121.3072986,154.1599832,100,98.9829196,99.5332862,107.5054271,112.291603,103.0504342,131.6604191,100,108.5651462,103.1458963,112.1487165,114.9167638,134.7989383,131.6257093,21,5.09E-06,3.89E-07,2.29E-08,0.693369721,0.930672725,0.032589877,0.069327275,0.032567848,> 300,> 300,-0.002852245,ED,1.33414235
A0A087WTA5,EIF2B4,>tr|A0A087WTA5|A0A087WTA5_HUMAN Translation initiation factor eIF-2B subunit delta OS=Homo sapiens GN=EIF2B4 PE=4 SV=1;>sp|Q9UI10-3|EI2BD_HUMAN Isoform 3 of Translation initiation factor eIF-2B subunit delta OS=Homo sapiens GN=EIF2B4;>sp|Q9UI10|EI2BD_HUMAN,13,13,30.6,0,,,,,,,,100,,,97.3730769,68.946101,,,100,,,87.7785254,74.7261059,107.2253691,109.8599093,8,0.001255576,1.863808773,1.27E-07,3.183011617,0.982395795,0.031536033,0.017604205,0.02284485,> 300,> 300,-0.087309561,ED,0.025497205
A0A087WTN3,SELT,>tr|A0A087WTN3|A0A087WTN3_HUMAN Selenoprotein T OS=Homo sapiens GN=SELT PE=4 SV=1;>sp|P62341|SELT_HUMAN Selenoprotein T OS=Homo sapiens GN=SELT PE=2 SV=2;>tr|A0A087WVA1|A0A087WVA1_HUMAN Selenoprotein T OS=Homo sapiens GN=SELT PE=4 SV=1;>tr|Q6IAK0|Q6IAK0_HU,4,4,31.5,0,,,,,,,,100,,,81.1354388,61.6822003,,,100,129.5889958,120.7289309,,,,,6,0.047831133,4.75E-05,0.151229659,0.151134172,0.999157552,0.030894162,0.000842448,0.02332373,14.49154835,7.6,-0.032537066,ED,0.086725543
A0A087WTX2,SLC39A7,>tr|A0A087WTX2|A0A087WTX2_HUMAN Zinc transporter SLC39A7 OS=Homo sapiens GN=SLC39A7 PE=4 SV=1;>sp|Q92504|S39A7_HUMAN Zinc transporter SLC39A7 OS=Homo sapiens GN=SLC39A7 PE=1 SV=2,4,4,21.7,0,,,,,,,,100,93.1900943,116.3569238,94.7548157,116.7432446,138.8544763,151.2433669,100,97.4175722,94.4473106,102.150815,107.4699837,104.2458498,123.2770096,14,7.81E-06,0.000105146,3.77E-06,0.700481156,0.954068752,0.027803688,0.045931248,0.027805728,> 300,> 300,0.073010769,ED,0.135044321
A0A087WUD1,ZNF787,>tr|A0A087WUD1|A0A087WUD1_HUMAN Zinc finger protein 787 OS=Homo sapiens GN=ZNF787 PE=4 SV=1;>sp|Q6DD87|ZN787_HUMAN Zinc finger protein 787 OS=Homo sapiens GN=ZNF787 PE=1 SV=3,3,3,15.2,0,,,,,,,,100,91.2480333,83.3787249,73.2887927,59.5753579,,,,,,,,,,5,0.068724911,0.112372827,0.040611463,0.263092451,0.999258273,0.000957913,0.000741727,7.12E-06,10.0858214,16.4,0.051798462,ED,0.028777289
A0A087WUL4,PEG10,>tr|A0A087WUL4|A0A087WUL4_HUMAN Retrotransposon-derived protein PEG10 OS=Homo sapiens GN=PEG10 PE=4 SV=1;>tr|A0A087WX23|A0A087WX23_HUMAN Retrotransposon-derived protein PEG10 OS=Homo sapiens GN=PEG10 PE=4 SV=1;>tr|A0A087WXK2|A0A087WXK2_HUMAN Retrotransposo,17,17,27.4,0,,,,,,,,100,92.2387076,65.6865951,57.5453129,34.90276,19.4992997,,,,,,,,,6,0.110584249,0.173634454,0.047786753,0.074158378,0.993660835,0.016499095,0.006339165,0.003231904,6.268046197,9.6,0.02629541,ED,0.117194679
A0A087WY55,VTA1,">tr|A0A087WY55|A0A087WY55_HUMAN Chromosome 6 open reading frame 55, isoform CRA_b OS=Homo sapiens GN=VTA1 PE=4 SV=1;>sp|Q9NP79|VTA1_HUMAN Vacuolar protein sorting-associated protein VTA1 homolog OS=Homo sapiens GN=VTA1 PE=1 SV=1;>sp|Q9NP79-2|VTA1_HUMAN Iso",6,6,36.1,0,100,,,96.2660357,104.0557384,84.3238045,104.4715758,,,,,,,,100,107.8408929,77.395855,123.7039547,85.6508699,90.2816719,77.1544815,12,0.00437541,0.057458001,0.003495981,1.427158145,0.963641155,0.01668033,0.036358845,0.01655449,158.4188042,198.2,-0.116116747,ED,0.140002462
A0A087WYC8,UPF3B,>tr|A0A087WYC8|A0A087WYC8_HUMAN Regulator of nonsense transcripts 3B OS=Homo sapiens GN=UPF3B PE=4 SV=1;>sp|Q9BZI7-2|REN3B_HUMAN Isoform 2 of Regulator of nonsense transcripts 3B OS=Homo sapiens GN=UPF3B;>sp|Q9BZI7|REN3B_HUMAN Regulator of nonsense transcr,8,8,41.9,0,,,,,,,,100,120.9955606,81.5450164,69.8033685,53.3358288,53.31289,44.1746891,,,,,,,,7,0.031422958,0.109016722,0.004325822,0.100322766,0.972438743,0.045372969,0.027561257,0.014170224,22.05862254,155.3,0.045206973,ED,0.088937716
