Category_ID,ProteinGroup,Phase,Category
ADH,P00325,1,Alcohol Dehydrogenase
ADH,P00326,1,Alcohol Dehydrogenase
ADH,P07327,1,Alcohol Dehydrogenase
ADH,P08319,1,Alcohol Dehydrogenase
ADH,P11766,1,Alcohol Dehydrogenase
ADH,P14550,1,Alcohol Dehydrogenase
ADH,P16152,1,Alcohol Dehydrogenase
ADH,P28332,1,Alcohol Dehydrogenase
ADH,P40394,1,Alcohol Dehydrogenase
ADH,Q8IWW8,1,Alcohol Dehydrogenase
ADH,Q8N8N7,1,Alcohol Dehydrogenase
ADH,Q9BTZ2,1,Alcohol Dehydrogenase
ADH,Q9HBH5,1,Alcohol Dehydrogenase
ADH,Q8N4Q0,1,Alcohol Dehydrogenase
AKR,C9JRZ8,1,Aldo-Keto Reductase
AKR,O60218,1,Aldo-Keto Reductase
AKR,O95154,1,Aldo-Keto Reductase
AKR,P14550,1,Aldo-Keto Reductase
AKR,P15121,1,Aldo-Keto Reductase
AKR,P17516,1,Aldo-Keto Reductase
AKR,P42330,1,Aldo-Keto Reductase
AKR,P51857,1,Aldo-Keto Reductase
AKR,P52895,1,Aldo-Keto Reductase
AKR,Q04828,1,Aldo-Keto Reductase
AKR,Q96JD6,1,Aldo-Keto Reductase
AKR,Q5T2L2,1,Aldo-Keto Reductase
ALDH,O75891,1,Aldehyde Dehydrogenase
ALDH,O94788,1,Aldehyde Dehydrogenase
ALDH,P00352,1,Aldehyde Dehydrogenase
ALDH,P05091,1,Aldehyde Dehydrogenase
ALDH,P14550,1,Aldehyde Dehydrogenase
ALDH,P30038,1,Aldehyde Dehydrogenase
ALDH,P30837,1,Aldehyde Dehydrogenase
ALDH,P30838,1,Aldehyde Dehydrogenase
ALDH,P43353,1,Aldehyde Dehydrogenase
ALDH,P47895,1,Aldehyde Dehydrogenase
ALDH,P48448,1,Aldehyde Dehydrogenase
ALDH,P49189,1,Aldehyde Dehydrogenase
ALDH,P49419,1,Aldehyde Dehydrogenase
ALDH,P51648,1,Aldehyde Dehydrogenase
ALDH,P51649,1,Aldehyde Dehydrogenase
ALDH,P54886,1,Aldehyde Dehydrogenase
ALDH,Q02252,1,Aldehyde Dehydrogenase
ALDH,Q3SY69,1,Aldehyde Dehydrogenase
ALDH,Q9H2A2,1,Aldehyde Dehydrogenase
ALDH,Q8IZ83,1,Aldehyde Dehydrogenase
AOC,O60341,1,Amine Oxidase
AOC,O75106,1,Amine Oxidase
AOC,P19801,1,Amine Oxidase
AOC,P21397,1,Amine Oxidase
AOC,P27338,1,Amine Oxidase
AOC,Q16853,1,Amine Oxidase
AOC,Q8NB78,1,Amine Oxidase
AOX,Q06278,1,Aldehyde Oxidase
CAT,P04040,Anti-Oxidant,Catalase
CAT,P17643,Anti-Oxidant,Catalase
CBR,O75828,1,Carbonyl Reductase
CBR,P16152,1,Carbonyl Reductase
CBR,Q8N4T8,1,Carbonyl Reductase
CBR,Q9BTZ2,1,Carbonyl Reductase
CPR,P16435,1,CYP450 Reductase
CYP,A0A087X1C5,1,CYP450
CYP,O15528,1,CYP450
CYP,O43174,1,CYP450
CYP,O75881,1,CYP450
CYP,P04798,1,CYP450
CYP,P05093,1,CYP450
CYP,P05108,1,CYP450
CYP,P05177,1,CYP450
CYP,P05181,1,CYP450
CYP,P08684,1,CYP450
CYP,P08686,1,CYP450
CYP,P10632,1,CYP450
CYP,P10635,1,CYP450
CYP,P11509,1,CYP450
CYP,P11511,1,CYP450
CYP,P11712,1,CYP450
CYP,P13584,1,CYP450
CYP,P15538,1,CYP450
CYP,P16435,1,CYP450
CYP,P19099,1,CYP450
CYP,P20813,1,CYP450
CYP,P20815,1,CYP450
CYP,P20853,1,CYP450
CYP,P22680,1,CYP450
CYP,P24462,1,CYP450
CYP,P24557,1,CYP450
CYP,P24903,1,CYP450
CYP,P33260,1,CYP450
CYP,P33261,1,CYP450
CYP,P51589,1,CYP450
CYP,P78329,1,CYP450
CYP,P98187,1,CYP450
CYP,Q02318,1,CYP450
CYP,Q02928,1,CYP450
CYP,Q07973,1,CYP450
CYP,Q08477,1,CYP450
CYP,Q16678,1,CYP450
CYP,Q16696,1,CYP450
CYP,Q16850,1,CYP450
CYP,Q4G0S4,1,CYP450
CYP,Q5TCH4,1,CYP450
CYP,Q6NT55,1,CYP450
CYP,Q6V0L0,1,CYP450
CYP,Q6VVX0,1,CYP450
CYP,Q6ZWL3,1,CYP450
CYP,Q7Z449,1,CYP450
CYP,Q86W10,1,CYP450
CYP,Q8TAV3,1,CYP450
CYP,Q96SQ9,1,CYP450
CYP,Q9HB55,1,CYP450
CYP,Q9HBI6,1,CYP450
CYP,Q9HCS2,1,CYP450
CYP,Q9NR63,1,CYP450
CYP,Q9NYL5,1,CYP450
CYP,Q9UNU6,1,CYP450
CYP,Q9Y6A2,1,CYP450
CYP,Q8N118,1,CYP450
CYP,Q6UW02,1,CYP450
CYP,Q8N1L4,1,CYP450
CYP,Q6ZSU1,1,CYP450
CYP,Q9H0H9,1,CYP450
EPHX,P07099,2,Epoxide Hydrolase
EPHX,P34913,2,Epoxide Hydrolase
EPHX,Q15125,2,Epoxide Hydrolase
EPHX,Q9H6B9,2,Epoxide Hydrolase
EPHX,Q9UBM7,2,Epoxide Hydrolase
EPHX,Q8IUS5,2,Epoxide Hydrolase
FMO,P31512,1,Flavin-Containing Monooxygenase
