Entry	Entry Name	Gene Ontology (cellular component)	Gene Names (primary)
A8MT69	CENPX_HUMAN	chromatin [GO:0000785]; cytosol [GO:0005829]; FANCM-MHF complex [GO:0071821]; Fanconi anaemia nuclear complex [GO:0043240]; inner kinetochore [GO:0000939]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]	CENPX
O00399	DCTN6_HUMAN	centrosome [GO:0005813]; cytosol [GO:0005829]; dynactin complex [GO:0005869]; kinetochore [GO:0000776]	DCTN6
O14576	DC1I1_HUMAN	cytoplasm [GO:0005737]; cytoplasmic dynein complex [GO:0005868]; cytoplasmic ribonucleoprotein granule [GO:0036464]; cytosol [GO:0005829]; kinetochore [GO:0000776]; microtubule [GO:0005874]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; recycling endosome [GO:0055037]; spindle pole [GO:0000922]; vesicle [GO:0031982]	DYNC1I1
O14777	NDC80_HUMAN	centrosome [GO:0005813]; chromosome, centromeric region [GO:0000775]; cytosol [GO:0005829]; kinetochore [GO:0000776]; membrane [GO:0016020]; Ndc80 complex [GO:0031262]; nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; outer kinetochore [GO:0000940]	NDC80
O15392	BIRC5_HUMAN	centriole [GO:0005814]; chromosome passenger complex [GO:0032133]; chromosome, centromeric region [GO:0000775]; cytoplasm [GO:0005737]; cytoplasmic microtubule [GO:0005881]; cytosol [GO:0005829]; interphase microtubule organizing center [GO:0031021]; kinetochore [GO:0000776]; microtubule [GO:0005874]; microtubule cytoskeleton [GO:0015630]; midbody [GO:0030496]; nuclear chromosome [GO:0000228]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; protein-containing complex [GO:0032991]; spindle microtubule [GO:0005876]; spindle midzone [GO:0051233]; survivin complex [GO:1990713]	BIRC5
O43264	ZW10_HUMAN	cytosol [GO:0005829]; Dsl1/NZR complex [GO:0070939]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; kinetochore [GO:0000776]; kinetochore microtubule [GO:0005828]; lipid droplet [GO:0005811]; membrane [GO:0016020]; nucleus [GO:0005634]; RZZ complex [GO:1990423]; spindle pole [GO:0000922]	ZW10
O43670	ZN207_HUMAN	kinetochore [GO:0000776]; microtubule [GO:0005874]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; spindle [GO:0005819]; spindle matrix [GO:1990047]	ZNF207
O43683	BUB1_HUMAN	cytosol [GO:0005829]; kinetochore [GO:0000776]; membrane [GO:0016020]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; outer kinetochore [GO:0000940]	BUB1
O43684	BUB3_HUMAN	bub1-bub3 complex [GO:1990298]; cytosol [GO:0005829]; kinetochore [GO:0000776]; mitotic checkpoint complex [GO:0033597]; nucleoplasm [GO:0005654]	BUB3
O60566	BUB1B_HUMAN	anaphase-promoting complex [GO:0005680]; centrosome [GO:0005813]; ciliary basal body [GO:0036064]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; kinetochore [GO:0000776]; mitotic checkpoint complex [GO:0033597]; nucleus [GO:0005634]; outer kinetochore [GO:0000940]; perinuclear region of cytoplasm [GO:0048471]; spindle [GO:0005819]	BUB1B
O75122	CLAP2_HUMAN	axonal growth cone [GO:0044295]; basal cortex [GO:0045180]; cell cortex [GO:0005938]; cell leading edge [GO:0031252]; centrosome [GO:0005813]; cortical microtubule cytoskeleton [GO:0030981]; cortical microtubule plus-end [GO:1903754]; cytoplasm [GO:0005737]; cytoplasmic microtubule [GO:0005881]; cytosol [GO:0005829]; glutamatergic synapse [GO:0098978]; Golgi apparatus [GO:0005794]; kinetochore [GO:0000776]; kinetochore microtubule [GO:0005828]; membrane [GO:0016020]; microtubule [GO:0005874]; microtubule organizing center [GO:0005815]; plasma membrane [GO:0005886]; ruffle membrane [GO:0032587]; spindle microtubule [GO:0005876]; trans-Golgi network [GO:0005802]	CLASP2
O75151	PHF2_HUMAN	kinetochore [GO:0000776]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]	PHF2
O75177	CREST_HUMAN	cytosol [GO:0005829]; kinetochore [GO:0000776]; nBAF complex [GO:0071565]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]	SS18L1
O75935	DCTN3_HUMAN	centrosome [GO:0005813]; cleavage furrow [GO:0032154]; cytosol [GO:0005829]; dynactin complex [GO:0005869]; kinetochore [GO:0000776]; midbody [GO:0030496]; nucleolus [GO:0005730]; perinuclear region of cytoplasm [GO:0048471]; perinuclear theca [GO:0033011]; sperm glycocalyx [GO:0120238]; sperm midpiece [GO:0097225]; sperm principal piece [GO:0097228]; spindle [GO:0005819]	DCTN3
